"Date","Price","Open","High","Low","Vol.","Change %"
2022- 03- 31,"106,500","106,000","107,500","105,500",1.05M,0.00%
2022- 03- 30,"106,500","107,000","108,000","106,000",1.10M,0.95%
2022- 03- 29,"105,500","106,000","106,500","104,500",1.31M,0.48%
2022- 03- 28,"105,000","105,000","105,500","102,500",1.53M,0.00%
2022- 03- 27,"105,000","105,000","105,500","102,500",0,0%
2022- 03- 25,"105,000","106,000","107,000","104,000",1.94M,0.00%
2022- 03- 24,"105,000","105,000","105,500","103,000",2.06M,-1.41%
2022- 03- 23,"106,500","107,500","108,500","104,500",2.30M,0.00%
2022- 03- 22,"106,500","104,500","108,000","104,500",2.04M,1.43%
2022- 03- 21,"105,000","108,500","110,000","104,000",3.27M,-3.23%
2022- 03- 20,"105,000","108,500","110,000","104,000",0,0%
2022- 03- 18,"108,500","107,500","109,000","106,000",2.96M,1.88%
2022- 03- 17,"106,500","106,000","109,000","105,500",3.49M,2.40%
2022- 03- 16,"104,000","105,000","105,500","102,000",1.75M,0.97%
2022- 03- 15,"103,000","103,500","104,500","101,000",1.77M,-0.48%
2022- 03- 14,"103,500","102,500","105,000","102,000",3.64M,1.97%
2022- 03- 13,"103,500","102,500","105,000","102,000",0,0%
2022- 03- 11,"101,500","100,000","102,000","98,400",3.14M,1.50%
2022- 03- 10,"100,000","94,400","100,000","94,300",5.66M,8.58%
2022- 03- 09,"100,000","94,400","100,000","94,300",0,0%
2022- 03- 08,"92,100","90,000","94,000","89,600",1.76M,0.55%
2022- 03- 07,"91,600","93,400","93,500","91,600",1.93M,-3.27%
2022- 03- 06,"91,600","93,400","93,500","91,600",0,0%
2022- 03- 04,"94,700","96,200","96,300","94,500",1.53M,-1.97%
2022- 03- 03,"96,600","96,100","97,300","95,300",1.73M,1.36%
2022- 03- 02,"95,300","94,400","95,700","93,900",2.16M,1.28%
2022- 03- 01,"95,300","94,400","95,700","93,900",0,0%
2022- 02- 28,"94,100","94,100","94,900","93,100",2.16M,-0.32%
2022- 02- 27,"94,100","94,100","94,900","93,100",0,0%
2022- 02- 25,"94,400","92,100","95,000","91,800",3.68M,4.89%
2022- 02- 24,"90,000","91,100","91,800","89,300",2.15M,-2.81%
2022- 02- 23,"92,600","92,500","93,800","91,900",1.73M,0.87%
2022- 02- 22,"91,800","91,700","93,200","91,200",1.87M,-1.50%
2022- 02- 21,"93,200","90,100","94,500","89,900",2.84M,1.97%
2022- 02- 20,"93,200","90,100","94,500","89,900",0,0%
2022- 02- 18,"91,400","89,200","92,500","88,700",2.21M,0.88%
2022- 02- 17,"90,600","91,900","92,100","89,200",2.84M,-1.41%
