"Date","Price","Open","High","Low","Vol.","Change %"
"2023- 01- 20","196,000","195,500","201,000","195,000","784.16K","0.00%"
"2023- 01- 19","196,000","194,000","196,500","192,500","474.16K","0.26%"
"2023- 01- 18","195,500","194,000","196,000","193,000","514.87K","1.03%"
"2023- 01- 17","193,500","201,000","201,000","193,500","969.54K","-3.49%"
"2023- 01- 16","200,500","197,000","201,000","195,000","840.65K","2.82%"
"2023- 01- 15","195,000","195,000","195,000","195,000","","0.00%"
"2023- 01- 13","195,000","196,000","200,500","195,000","862.62K","0.52%"
"2023- 01- 12","194,000","198,000","199,000","194,000","788.04K","-0.51%"
"2023- 01- 11","195,000","197,500","200,500","194,500","1.03M","1.04%"
"2023- 01- 10","193,000","193,000","196,000","190,500","833.45K","-1.78%"
"2023- 01- 09","196,500","189,500","196,500","189,000","1.11M","6.22%"
"2023- 01- 08","185,000","185,000","185,000","185,000","","0.00%"
"2023- 01- 06","185,000","185,500","187,000","182,500","729.64K","-0.54%"
"2023- 01- 05","186,000","184,500","190,000","184,000","1.09M","1.92%"
"2023- 01- 04","182,500","177,000","183,500","177,000","744.52K","2.24%"
"2023- 01- 03","178,500","177,000","179,500","173,500","569.22K","-0.56%"
"2023- 01- 02","179,500","179,500","180,000","176,000","428.70K","1.13%"
"2022- 12- 29","177,500","180,000","185,000","177,500","654.00K","-1.39%"
"2022- 12- 28","180,000","179,000","183,500","178,000","575.83K","-0.55%"
"2022- 12- 27","181,000","179,500","182,500","179,000","489.08K","1.40%"
"2022- 12- 26","178,500","178,500","180,500","177,000","349.03K","0.28%"
"2022- 12- 25","178,000","178,000","178,000","178,000","","0.00%"
"2022- 12- 23","178,000","180,500","182,000","178,000","610.50K","-3.52%"
"2022- 12- 22","184,500","182,000","185,500","180,500","464.20K","2.50%"
"2022- 12- 21","180,000","182,500","183,000","180,000","300.20K","-0.28%"
"2022- 12- 20","180,500","182,000","184,000","179,000","621.13K","-1.63%"
"2022- 12- 19","183,500","179,500","184,000","179,500","470.88K","1.66%"
"2022- 12- 18","180,500","180,500","180,500","180,500","","0.00%"
"2022- 12- 16","180,500","178,000","182,500","177,500","906.45K","-1.10%"
"2022- 12- 15","182,500","191,000","191,000","182,500","1.26M","-5.68%"
"2022- 12- 14","193,500","194,000","195,000","191,500","682.02K","0.26%"
"2022- 12- 13","193,000","195,500","197,000","191,000","690.52K","0.00%"
"2022- 12- 12","193,000","192,500","196,500","190,500","650.89K","-1.03%"
"2022- 12- 11","195,000","195,000","195,000","195,000","","0.00%"
"2022- 12- 09","195,000","187,500","195,000","187,000","1.08M","5.12%"
"2022- 12- 08","185,500","184,000","186,500","181,500","706.47K","1.09%"
