"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 03- 21","168,500","171,500","172,000","168,500","577.56K","-1.46%"
"2022- 03- 20","171,000","171,000","171,000","171,000","","0.00%"
"2022- 03- 18","171,000","171,500","171,500","169,500","756.63K","1.48%"
"2022- 03- 17","168,500","172,500","173,000","168,500","937.01K","0.30%"
"2022- 03- 16","168,000","165,000","168,500","163,000","859.37K","3.07%"
"2022- 03- 15","163,000","164,000","165,500","162,000","873.12K","-0.91%"
"2022- 03- 14","164,500","166,500","167,500","163,000","1.11M","-2.66%"
"2022- 03- 13","169,000","169,000","169,000","169,000","","0.00%"
"2022- 03- 11","169,000","169,000","169,500","165,500","771.29K","0.00%"
"2022- 03- 10","169,000","171,500","172,000","167,500","1.08M","0.60%"
"2022- 03- 09","168,000","168,000","168,000","168,000","","0.00%"
"2022- 03- 08","168,000","164,000","170,500","163,500","724.54K","0.00%"
"2022- 03- 07","168,000","170,000","171,000","165,500","1.36M","-2.61%"
"2022- 03- 06","172,500","172,500","172,500","172,500","","0.00%"
"2022- 03- 04","172,500","176,500","177,500","172,500","862.58K","-2.82%"
"2022- 03- 03","177,500","173,500","179,000","173,000","1.24M","4.11%"
"2022- 03- 02","170,500","171,500","172,500","169,500","1.37M","-2.57%"
"2022- 03- 01","175,000","175,000","175,000","175,000","","0.00%"
"2022- 02- 28","175,000","171,000","175,000","168,000","1.23M","0.57%"
"2022- 02- 27","174,000","174,000","174,000","174,000","","0.00%"
"2022- 02- 25","174,000","175,000","175,500","171,500","944.79K","0.58%"
"2022- 02- 24","173,000","178,500","179,000","171,000","1.69M","-4.16%"
"2022- 02- 23","180,500","182,500","183,000","179,500","546.22K","-0.55%"
"2022- 02- 22","181,500","180,500","183,000","180,000","561.30K","-1.89%"
"2022- 02- 21","185,000","180,500","185,500","179,500","460.65K","0.82%"
"2022- 02- 20","183,500","183,500","183,500","183,500","","0.00%"
"2022- 02- 18","183,500","181,000","184,000","180,500","425.07K","0.00%"
"2022- 02- 17","183,500","182,500","186,000","181,000","0.02K","0.82%"
"2022- 02- 16","182,000","185,000","185,000","181,500","0.00K","0.83%"
"2022- 02- 15","180,500","177,000","183,000","176,500","952.24K","2.27%"
"2022- 02- 14","176,500","179,500","181,000","176,000","0.29K","-3.55%"
"2022- 02- 13","183,000","183,000","183,000","183,000","","0.00%"
"2022- 02- 11","183,000","183,000","184,500","181,000","996.54K","-1.35%"
"2022- 02- 10","185,500","186,000","187,000","182,500","0.02K","0.27%"
"2022- 02- 09","185,000","186,000","186,000","182,500","990.14K","0.27%"
"2022- 02- 08","184,500","186,500","188,000","183,500","1.06M","-1.07%"
"2022- 02- 07","186,500","189,500","190,000","184,500","822.87K","-1.84%"
"2022- 02- 06","190,000","190,000","190,000","190,000","","0.00%"
"2022- 02- 04","190,000","190,500","192,000","188,000","831.95K","-0.78%"
"2022- 02- 03","191,500","194,500","195,000","191,500","0.33K","1.06%"
"2022- 01- 28","189,500","186,500","190,500","180,000","1.41M","1.61%"
"2022- 01- 27","186,500","190,000","191,500","185,500","0.68K","-1.84%"
"2022- 01- 26","190,000","193,500","194,500","189,500","0.69K","-2.31%"
"2022- 01- 25","194,500","196,500","197,000","190,000","1.17M","-1.27%"
"2022- 01- 24","197,000","197,500","200,000","195,000","655.60K","-1.50%"
"2022- 01- 23","200,000","200,000","200,000","200,000","","0.00%"
"2022- 01- 21","200,000","199,500","201,000","198,500","511.87K","-0.99%"
"2022- 01- 20","202,000","200,500","202,500","199,500","0.16K","0.75%"
"2022- 01- 19","200,500","200,500","203,500","200,000","522.38K","-0.99%"
"2022- 01- 18","202,500","206,000","206,000","201,500","577.58K","-1.22%"
"2022- 01- 17","205,000","208,500","209,000","202,500","721.98K","-1.91%"
"2022- 01- 16","209,000","209,000","209,000","209,000","","0.00%"
"2022- 01- 14","209,000","209,500","211,000","208,000","404.24K","-0.48%"
"2022- 01- 13","210,000","211,500","213,000","210,000","497.33K","-0.71%"
"2022- 01- 12","211,500","211,500","213,000","210,500","467.91K","0.48%"
"2022- 01- 11","210,500","209,500","211,000","209,000","0.07K","0.48%"
"2022- 01- 10","209,500","214,500","215,000","209,000","0.18K","-2.56%"
"2022- 01- 09","215,000","215,000","215,000","215,000","","0.00%"
"2022- 01- 07","215,000","214,500","216,500","213,500","575.22K","0.47%"
"2022- 01- 06","214,000","210,000","216,500","210,000","0.14K","0.23%"
"2022- 01- 05","213,500","214,000","217,500","212,000","1.17M","1.67%"
"2022- 01- 04","210,000","212,000","212,500","208,500","0.06K","-0.24%"
"2022- 01- 03","210,500","211,500","212,500","209,000","467.14K","0.72%"
"2021- 12- 30","209,000","211,500","212,000","208,500","578.79K","-1.42%"
"2021- 12- 29","212,000","213,000","215,000","211,500","0.10K","-0.93%"
"2021- 12- 28","214,000","215,000","215,000","211,500","0.18K","0.23%"
"2021- 12- 27","213,500","216,500","217,000","213,500","0.68K","-0.93%"
"2021- 12- 26","215,500","215,500","215,500","215,500","","0.00%"
"2021- 12- 24","215,500","210,500","216,500","210,500","1.01M","3.11%"
"2021- 12- 23","209,000","208,000","209,000","207,000","0.00K","1.21%"
